domain,div,a,img,span,ul,li
sms-japan.com,55.0,8.0,0.0,0.0,0.0,0.0
just-jobs.com,170.0,145.0,0.0,0.0,0.0,0.0
openproxy.space,61.0,26.0,0.0,20.0,0.0,0.0
openproxy.space,61.0,26.0,0.0,20.0,0.0,0.0
sms-japan.com,62.0,8.0,0.0,0.0,0.0,0.0
openproxy.space,61.0,26.0,0.0,20.0,0.0,0.0
tooljp.com,9.0,101.0,0.0,2.0,0.0,0.0
just-jobs.com,170.0,145.0,0.0,0.0,0.0,0.0
engineer314.com,9.0,90.0,0.0,4.0,0.0,0.0
reactoridle.com,63.0,0.0,0.0,1.0,0.0,0.0
nonai.jp,17.0,81.0,0.0,7.0,0.0,0.0
slithercraft.io,266.0,9.0,0.0,26.0,0.0,0.0
readouble.com,147.0,57.0,0.0,29.0,0.0,0.0
gamelando.com,6.0,128.0,0.0,12.0,0.0,0.0
denwam.com,159.0,487.0,0.0,1.0,0.0,0.0
yonelabo.com,148.0,71.0,0.0,0.0,0.0,0.0
kishibetsu.com,5.0,981.0,0.0,0.0,0.0,0.0
jazznavi.net,16.0,70.0,0.0,69.0,0.0,0.0
xn--18jvc319lb8ehln4rer93a.com,37.0,73.0,0.0,3.0,0.0,0.0
gbf.life,129.0,88.0,0.0,4.0,0.0,0.0
godfield.net,72.0,3.0,0.0,11.0,0.0,0.0
5chmap.com,10.0,41.0,0.0,41.0,0.0,0.0
quora.com,66.0,9.0,0.0,26.0,0.0,0.0
arteducation.com.tw,143.0,472.0,0.0,91.0,0.0,0.0
wcmap.net,8.0,49.0,0.0,3.0,0.0,0.0
howold.date,161.0,119.0,0.0,0.0,0.0,0.0
just-jobs.com,170.0,145.0,0.0,0.0,0.0,0.0
sms-japan.com,62.0,8.0,0.0,0.0,0.0,0.0
openproxy.space,61.0,26.0,0.0,20.0,0.0,0.0
reactoridle.com,63.0,0.0,0.0,1.0,0.0,0.0
jpcmap.com,87.0,10.0,0.0,6.0,0.0,0.0
dajarenavi.net,15.0,73.0,2.0,26.0,0.0,0.0
javadrive.jp,44.0,45.0,2.0,16.0,0.0,0.0
howtonote.jp,43.0,22.0,2.0,13.0,0.0,0.0
momonayama.net,113.0,183.0,2.0,6.0,0.0,0.0
sta-men.jp,9.0,513.0,2.0,4.0,0.0,0.0
denwakyoku.jp,8.0,159.0,2.0,3.0,0.0,0.0
sizekensaku.com,10.0,170.0,2.0,3.0,0.0,0.0
winriver.net,0.0,107.0,2.0,0.0,0.0,0.0
fooddiez.jp,145.0,220.0,3.0,381.0,0.0,0.0
genyotech.com,42.0,1.0,3.0,9.0,0.0,0.0
researchgate.net,86.0,32.0,3.0,30.0,0.0,0.0
fooddiez.jp,152.0,222.0,3.0,381.0,0.0,0.0
gamedeals.io,42.0,1.0,3.0,9.0,0.0,0.0
listenonrepeat.com,106.0,4.0,3.0,50.0,0.0,0.0
nangokulife.net,33.0,20.0,3.0,0.0,0.0,0.0
dengen-cafe.com,153.0,43.0,3.0,4.0,0.0,0.0
steamcharts.com,20.0,32.0,3.0,3.0,0.0,0.0
hpfree.com,23.0,41.0,3.0,1.0,0.0,0.0
sugawarataku.net,17.0,39.0,3.0,1.0,0.0,0.0
1stkissnovel.love,42.0,1.0,3.0,9.0,0.0,0.0
healthnatural.co.uk,42.0,1.0,3.0,9.0,0.0,0.0
thebest-1.com,664.0,144.0,3.0,4.0,0.0,0.0
10bye.com,81.0,33.0,3.0,105.0,0.0,0.0
newdelhiairport.in,42.0,1.0,3.0,9.0,0.0,0.0
playmarket.com,42.0,1.0,3.0,9.0,0.0,0.0
rippletown.jp,6.0,31.0,3.0,16.0,0.0,0.0
cars-japan.net,41.0,22.0,3.0,9.0,0.0,0.0
gmauthority.com,42.0,1.0,3.0,9.0,0.0,0.0
memorva.jp,60.0,12.0,3.0,7.0,0.0,0.0
spectank.jp,37.0,21.0,3.0,0.0,0.0,0.0
fooddiez.jp,152.0,222.0,3.0,381.0,0.0,0.0
gamedeals.io,42.0,1.0,3.0,9.0,0.0,0.0
steamcharts.com,20.0,32.0,3.0,3.0,0.0,0.0
nangokulife.net,33.0,20.0,3.0,0.0,0.0,0.0
keluyuran.com,283.0,129.0,4.0,7.0,0.0,0.0
craiyon.com,60.0,12.0,4.0,33.0,0.0,0.0
craiyon.com,60.0,12.0,4.0,33.0,0.0,0.0
keluyuran.com,283.0,129.0,4.0,7.0,0.0,0.0
carisinyal.com,507.0,233.0,4.0,7.0,0.0,0.0
tjoy.jp,72.0,26.0,4.0,1.0,0.0,0.0
tomari.org,384.0,350.0,4.0,17.0,0.0,0.0
jp-book.store,62.0,147.0,4.0,6.0,0.0,0.0
craiyon.com,60.0,12.0,4.0,33.0,0.0,0.0
kininaruart.com,141.0,51.0,4.0,0.0,0.0,0.0
kakuge.com,36.0,18.0,4.0,0.0,0.0,0.0
superspin.io,84.0,25.0,4.0,0.0,0.0,0.0
teikan.tokyo,290.0,198.0,4.0,1.0,0.0,0.0
wanted5games.com,57.0,14.0,4.0,0.0,0.0,0.0
hix05.com,6.0,74.0,4.0,1.0,0.0,0.0
townphoto.net,44.0,49.0,4.0,3.0,0.0,0.0
stock-chart.net,9.0,77.0,4.0,0.0,0.0,0.0
xutnufoob.com,61.0,48.0,4.0,74.0,0.0,0.0
keluyuran.com,283.0,129.0,4.0,7.0,0.0,0.0
dekajiyo.com,83.0,24.0,5.0,3.0,0.0,0.0
peing.net,69.0,12.0,5.0,4.0,0.0,0.0
tabtter.jp,29.0,22.0,5.0,2.0,0.0,0.0
betterdiscord.app,119.0,31.0,5.0,58.0,0.0,0.0
daily-horoscope.us,205.0,95.0,5.0,10.0,0.0,0.0
tabtter.jp,28.0,22.0,5.0,2.0,0.0,0.0
translator.jp,6.0,176.0,5.0,16.0,0.0,0.0
xutnufoob.com,61.0,49.0,6.0,74.0,0.0,0.0
uub.jp,172.0,69.0,6.0,52.0,0.0,0.0
w3schools.com,198.0,333.0,6.0,111.0,0.0,0.0
iranproud2.net,80.0,20.0,6.0,0.0,0.0,0.0
loonea.com,35.0,17.0,7.0,5.0,0.0,0.0
loonea.com,35.0,17.0,7.0,5.0,0.0,0.0
anzenhiroshima.jp,56.0,40.0,7.0,2.0,0.0,0.0
pwalker.jp,46.0,43.0,7.0,35.0,0.0,0.0
n225chart.com,17.0,41.0,7.0,12.0,0.0,0.0
mapio.net,83.0,9.0,7.0,24.0,0.0,0.0
