,Unnamed: 0,domain,div,a,img,span,ul,li,number_similar_sites,cluster_id
33,40,genyotech.com,42.0,1.0,3.0,9.0,0.0,0.0,7,0
36,43,gamedeals.io,42.0,1.0,3.0,9.0,0.0,0.0,7,0
43,50,1stkissnovel.love,42.0,1.0,3.0,9.0,0.0,0.0,7,0
44,51,healthnatural.co.uk,42.0,1.0,3.0,9.0,0.0,0.0,7,0
47,54,newdelhiairport.in,42.0,1.0,3.0,9.0,0.0,0.0,7,0
48,55,playmarket.com,42.0,1.0,3.0,9.0,0.0,0.0,7,0
51,58,gmauthority.com,42.0,1.0,3.0,9.0,0.0,0.0,7,0
638,742,ndff.net,65.0,21.0,10.0,90.0,2.0,8.0,4,1
641,747,ndff.net,66.0,21.0,10.0,90.0,2.0,8.0,4,1
644,750,yeah888.tokyo,65.0,22.0,10.0,92.0,2.0,8.0,4,1
735,859,ndff.net,66.0,22.0,10.0,91.0,2.0,9.0,4,1
919,1065,mail.yahoo.co.jp,121.0,28.0,4.0,57.0,6.0,11.0,6,2
920,1066,m.mail.yahoo.co.jp,121.0,28.0,4.0,57.0,6.0,11.0,6,2
921,1067,login.yahoo.co.jp,121.0,28.0,4.0,57.0,6.0,11.0,6,2
922,1068,m.mail.yahoo.co.jp,121.0,28.0,5.0,57.0,6.0,11.0,6,2
923,1069,mail.yahoo.co.jp,121.0,28.0,5.0,57.0,6.0,11.0,6,2
924,1070,login.yahoo.co.jp,121.0,28.0,5.0,57.0,6.0,11.0,6,2
941,1090,chico-blog1.com,66.0,24.0,11.0,81.0,2.0,11.0,4,-1
943,1092,zatsugaku-note.com,60.0,24.0,11.0,81.0,2.0,11.0,4,-1
1051,1212,kibounotou.jp,62.0,25.0,10.0,81.0,2.0,12.0,5,-1
1408,1622,travlerz.com,304.0,80.0,69.0,5.0,2.0,14.0,5,3
1409,1623,wackojaco.com,304.0,80.0,69.0,5.0,2.0,14.0,5,3
1410,1624,thefunpost.com,304.0,80.0,69.0,5.0,2.0,14.0,5,3
1411,1625,247mirror.com,304.0,80.0,69.0,5.0,2.0,14.0,5,3
1412,1626,visualchase.com,304.0,80.0,69.0,5.0,2.0,14.0,5,3
1691,1957,kokonyushi-kakomon.com,142.0,47.0,23.0,86.0,4.0,16.0,4,-1
2785,3203,nomina.jp,155.0,79.0,51.0,63.0,4.0,23.0,4,-1
2786,3204,nomina.jp,154.0,79.0,51.0,63.0,4.0,23.0,4,-1
2985,3431,recipes-forfood.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2986,3432,pretty-myhealth.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2987,3433,renovmo.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2988,3435,likehealth21.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2989,3436,feagreat.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2990,3437,yeereader.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2991,3438,rorohope.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2992,3439,pock2342.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2993,3441,55likegame.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2994,3445,hkdaliynew.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2995,3450,gyyplay.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2996,3453,jpfunvideo.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
2997,3454,rifusy.com,68.0,27.0,21.0,86.0,2.0,25.0,13,4
3008,3472,easycookic.com,51.0,34.0,26.0,29.0,2.0,25.0,4,5
3009,3473,buddhaim.com,51.0,34.0,26.0,29.0,2.0,25.0,4,5
3010,3474,eoeonews.com,51.0,34.0,26.0,29.0,2.0,25.0,4,5
3245,3741,pet-myfriend.com,51.0,36.0,26.0,29.0,3.0,27.0,6,5
3380,3896,thecar-repair.com,51.0,37.0,26.0,29.0,3.0,28.0,4,5
3382,3898,cookie-food.com,51.0,37.0,26.0,29.0,3.0,28.0,4,5
3389,3906,health-wonderful.com,61.0,42.0,31.0,34.0,3.0,28.0,4,-1
3763,4318,gasfullnews.com,278.0,111.0,21.0,59.0,6.0,32.0,4,6
3764,4319,wabgo.com,278.0,111.0,21.0,59.0,6.0,32.0,4,6
3770,4327,newsindiaday.com,278.0,112.0,22.0,59.0,6.0,32.0,4,6
3774,4332,ubonlive.com,279.0,113.0,23.0,59.0,6.0,32.0,4,6
4503,5138,spicytrends.com,267.0,126.0,45.0,81.0,10.0,69.0,4,7
4511,5147,medicalmatters.com,268.0,130.0,44.0,81.0,10.0,73.0,4,7
5109,5803,uranai.nosv.org,51.0,170.0,44.0,130.0,3.0,66.0,4,8
5115,5809,doctoreport.com,267.0,130.0,44.0,82.0,10.0,70.0,4,7
5116,5810,smarttelly.com,267.0,128.0,44.0,81.0,10.0,70.0,4,7
5195,5896,uranai.nosv.org,55.0,171.0,44.0,131.0,3.0,67.0,4,8
5196,5897,nosv.org,55.0,171.0,44.0,131.0,3.0,67.0,4,8
5197,5898,uranai.nosv.org,56.0,171.0,45.0,131.0,3.0,67.0,4,8
